Stations-ID;Stationsname;Bundesland;von;bis;Hoehe;geoBreite;geoLaenge
3545;Neunkirchen-Wellesweiler;Saarland;20050301;20150324;236;49,3436;7,2295
3552;Neuruppin;Brandenburg;19730101;20150324;38;52,9037;12,8072
3571;Neustadt am Kulm-Filchendorf;Bayern;20080301;20150324;452;49,8174;11,8638
7410;Neu-Ulrichstein;Hessen;20110201;20150324;350;50,7519;9,0226
3591;Nideggen-Schmidt;Nordrhein-Westfalen;20040601;20150324;350;50,6744;6,4237
3603;Niederstetten;Baden-Württemberg;20020101;20150324;473;49,3895;9,9666
3612;Nienburg;Niedersachsen;20070401;20150324;25;52,6711;9,2229
3631;Norderney;Niedersachsen;19490101;20150324;11;53,7123;7,1519
3639;Nordholz (Flugplatz);Niedersachsen;20020101;20150324;25;53,7647;8,6583
3623;Nörvenich (Flugplatz);Nordrhein-Westfalen;20020101;20150324;111;50,8294;6,6602
6314;Nossen;Sachsen;20050801;20150324;308;51,0507;13,3008
6275;Notzingen;Baden-Württemberg;20040701;20150324;325;48,6707;9,4625
3660;Nürburg-Barweiler;Rheinland-Pfalz;19950302;20150324;485;50,3601;6,8697
3668;Nürnberg;Bayern;19510101;20150324;314;49,5031;11,0549
3667;Nürnberg-Netzstall;Bayern;20050301;20150324;368;49,4258;11,2538
7431;Oberhaching-Laufzorn;Bayern;20071101;20150324;604;48,0131;11,5525
3730;Oberstdorf;Bayern;19480101;20150324;806;47,3986;10,276
3734;Obersulm-Willsbach;Baden-Württemberg;20040701;20150324;230;49,1279;9,3525
3739;Oberviechtach;Bayern;20050301;20150324;596;49,452;12,4366
7341;Offenbach-Wetterpark;Hessen;20050716;20150324;119;50,09;8,7862
1602;Ohlsbach;Baden-Württemberg;20040701;20150324;176;48,4329;7,9931
3761;Öhringen;Baden-Württemberg;19550101;20150324;276;49,207;9,5175
7321;Olbersleben;Thüringen;20050901;20150324;160;51,1509;11,3319
1964;Olsdorf;Rheinland-Pfalz;20050501;20150324;328;49,9445;6,3821
3811;Oschatz;Sachsen;19820701;20150324;150;51,296;13,0928
6105;Ostenfeld (Rendsburg);Schleswig-Holstein;20040501;20150324;14;54,3192;9,8052
3821;Osterfeld;Sachsen-Anhalt;19840801;20150324;246;51,0873;11,9292
3836;Ostheim v.d. Rhön;Bayern;20060301;20150324;312;50,4538;10,221
3857;Oy-Mittelberg-Petersthal;Bayern;20050101;20150324;885;47,636;10,3891
6266;Pabstorf;Sachsen-Anhalt;20040901;20150324;112;52,0305;10,9625
7427;Padenstedt (Pony-Park);Schleswig-Holstein;20070901;20150324;17;54,019;9,9257
3875;Parsberg/Oberpfalz-Eglwang;Bayern;20050101;20150324;549;49,1509;11,6897
3897;Pelzerhaken;Schleswig-Holstein;20020101;20150324;1;54,0893;10,8773
3904;Perl-Nennig;Saarland;20040901;20150324;152;49,5356;6,3804
3925;Pforzheim-Ispringen;Baden-Württemberg;20050901;20150324;333;48,9318;8,6959
3927;Pfullendorf;Baden-Württemberg;20040701;20150324;630;47,9344;9,2869
7424;Piding;Bayern;20061201;20150324;458;47,7724;12,9073
3939;Pirmasens;Rheinland-Pfalz;20041001;20150324;385;49,1911;7,5875
3946;Plauen;Sachsen;19510101;20150324;386;50,4819;12,13
3975;Pommelsbrunn-Mittelburg;Bayern;20050301;20150324;522;49,4778;11,5355
3987;Potsdam;Brandenburg;18930101;20150324;81;52,3813;13,0622
7350;Prackenbach-Neuhäusl;Bayern;20060801;20150324;588;49,1087;12,8231
4024;Putbus;Mecklenburg-Vorpommern;19820101;20150324;40;54,3643;13,477
4032;Quedlinburg;Sachsen-Anhalt;20061201;20150324;142;51,7954;11,1319
4036;Querfurt-Mühle Lodersleben;Sachsen-Anhalt;20070301;20150324;204;51,3895;11,5414
4039;Quickborn;Schleswig-Holstein;19880111;20150324;13;53,7331;9,8776
4063;Rahden-Kleinendorf;Nordrhein-Westfalen;20030701;20150324;41;52,4461;8,5906
4104;Regensburg;Bayern;19480101;20150324;365;49,0424;12,1021
4127;Reichshof-Eckenhagen;Nordrhein-Westfalen;20050101;20150324;350;50,9906;7,6958
3621;Reimlingen;Bayern;20060101;20150324;435;48,8254;10,5066
5941;Reit im Winkl;Bayern;20070301;20150324;685;47,6752;12,4696
4154;Remscheid-Lennep;Nordrhein-Westfalen;20110201;20150324;345;51,1798;7,2506
4160;Renningen-Ihinger Hof;Baden-Württemberg;20040701;20150324;478;48,7425;8,924
4169;Rheinau-Memprechtshofen;Baden-Württemberg;20021101;20150324;131;48,6703;7,9939
4174;Rheine-Bentlage;Nordrhein-Westfalen;20020101;20150324;40;52,2887;7,3866
4175;Rheinfelden;Baden-Württemberg;20040601;20150101;287;47,5627;7,7936
4177;Rheinstetten;Baden-Württemberg;20081101;20150324;116;48,9726;8,3302
3319;Röllbach;Bayern;20060901;20150324;239;49,7645;9,2531
4261;Rosenheim;Bayern;20060301;20150324;444;47,8752;12,1279
4271;Rostock-Warnemünde;Mecklenburg-Vorpommern;19470101;20150324;4;54,1802;12,0805
4275;Rotenburg (Wümme);Niedersachsen;20041201;20150324;32;53,1288;9,3395
4280;Roth;Bayern;20020101;20150324;385;49,2164;11,1036
4287;Rothenburg ob der Tauber;Bayern;20050101;20150324;415;49,3847;10,1732
4300;Rottweil;Baden-Württemberg;20040701;20150324;588;48,1813;8,6351
6344;Runkel-Ennerich;Hessen;20041201;20150324;168;50,3944;8,1433
4323;Ruppertsecken;Rheinland-Pfalz;20050301;20150324;461;49,6467;7,8835
6217;Saarbrücken-Burbach;Saarland;20041001;20150324;190;49,2406;6,9351
4336;Saarbrücken-Ensheim;Saarland;19620501;20150324;320;49,2128;7,1077
4349;Sachsenheim;Baden-Württemberg;20040601;20150324;248;48,9569;9,071
4354;Saldenburg-Entschenreuth;Bayern;20060101;20150324;456;48,7832;13,3145
4371;Salzuflen, Bad;Nordrhein-Westfalen;19500101;20150324;135;52,1042;8,7521
4377;Sandberg;Bayern;20050901;20150324;510;50,3519;10,0032
4393;Sankt Peter-Ording;Schleswig-Holstein;19991201;20150324;5;54,3279;8,603
4411;Schaafheim-Schlierbach;Hessen;20020124;20150324;155;49,9195;8,9671
15207;Schauenburg-Elgershausen;Hessen;20131101;20150324;317;51,2835;9,359
4464;Schleiz;Thüringen;19890801;20150324;501;50,5679;11,8041
4466;Schleswig;Schleswig-Holstein;19510101;20150324;43;54,5275;9,5486
2437;Schleswig-Jagel;Schleswig-Holstein;20020101;20150324;21;54,455;9,5194
4480;Schlüchtern-Herolz;Hessen;20040901;20150324;230;50,3444;9,5539
4485;Schmalkalden, Kurort;Thüringen;20050201;20150324;296;50,7252;10,454
3289;Schmieritz-Weltwitz;Thüringen;20041101;20150324;355;50,7281;11,7838
4501;Schmücke;Thüringen;19780701;20150324;937;50,6546;10,7693
7325;Schneefernerhaus;Bayern;20110901;20150324;2650;47,4167;10,9794
4508;Schneifelforsthaus;Rheinland-Pfalz;20040801;20150324;649;50,2988;6,4165
5930;Schönhagen (Ostseebad);Schleswig-Holstein;19910101;20150324;2;54,641;10,0238
6347;Schonungen-Mainberg;Bayern;20050301;20150324;304;50,0578;10,2974
4559;Schorndorf-Knöbling;Bayern;20050501;20150324;399;49,1646;12,6176
4560;Schotten;Hessen;20050201;20150324;265;50,4927;9,1228
6262;Schwäbisch Gmünd-Weiler;Baden-Württemberg;20021101;20150324;413;48,7696;9,8738
4592;Schwandorf;Bayern;20051201;20150324;356;49,3278;12,0871
4605;Schwarzburg;Thüringen;20041101;20150324;277;50,6444;11,1933
4625;Schwerin;Mecklenburg-Vorpommern;19500101;20150324;59;53,6425;11,3872
4642;Seehausen;Sachsen-Anhalt;19761001;20150324;21;52,8911;11,7297
4651;Seesen;Niedersachsen;20041101;20150324;186;51,9044;10,1888
